Sex,Age,PVD1,PVD2,PVD3rc,PVD4,PVD5rc,PVD6,PVD7,PVD8,PVD9,PVD10,PVD11rc,PVD12rc,PVD13rc,PVD14rc,PVD15,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6rc,SOIR7,SOIR8,SOIR9,GenHealth,INF_PREV_COMM,INF_PREV_FAM,INF_PREV_JOB,TDDS1,TDDS2,TDDS3,TDDS4,TDDS5,TDDS6,TDDS7,TDDS8,TDDS9,TDDS10,TDDS11,TDDS12,TDDS13,TDDS14,TDDS15,TDDS16,TDDS17,TDDS18,TDDS19,TDDS20,TDDS21
2,41,6,6,4,2,7,6,3,6,1,5,5,7,4,5,3,2,2,2,8,5,5,2,3,2,1, , , ,7,5,7,7,1,1,7,2,6,7,2,7,7,1,7,7,7,7,7,1,5
2,40,7,6,7,7,7,6,7,6,6,6,7,7,7,7,7,2,6,3,9,2,9,2,2,1,3, , , ,7,7,7,7,4,7,7,4,7,7,4,7,7,4,7,7,7,7,7,7,7
2,39,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,2,9,9,1,9,1,2,3,2,2, , , ,7,1,7,7,1,5,7,7,5,7,1,7,7,7,5,7,4,7,7,7,4
2,39,1,1,2,6,2,1,6,1,6,1,7,2,2,2,6,2,1,1,1,1,2,1,1,1,4, , , ,5,6,4,5,1,2,4,1,1,1,5,4,1,5,4,1,5,2,1,5,3
2,39,5,3,7,7,5,1,1,2,1,2,1,5,1,4,1,2,2,1,2,1,2,1,1,1,3, , , ,3,4,6,3,2,3,3,7,5,3,6,2,4,5,5,3,7,2,3,5,6
1,38,5,2,2,3,3,2,1,1,5,2,2,4,5,2,2,2,1,3,7,1,4,4,1,3,5, , , ,3,2,6,6,1,3,5,1,3,5,3,5,2,2,5,6,1,4,4,1,4
1,38,7,2,7,7,4,1,6,1,7,1,4,2,6,2,7,2,2,1,7,6,1,7,4,6,2, , , ,7,5,7,7,1,3,6,1,7,6,1,1,6,3,6,6,2,6,5,1,6
2,37,4,4,4,5,3,3,3,4,3,3,3,3,3,4,2,3,1,3,9,1,6,3,3,2,3, , , ,3,3,4,3,4,4,1,5,4,4,4,5,7,6,6,3,5,6,6,7,5
2,37,7,2,7,7,2,1,2,2,2,2,1,2,2,1,1,2,3,1,1,1,1,3,3,3,4, , , ,7,7,7,7,1,7,7,1,4,7,4,7,7,7,7,7,7,7,7,7,1
1,36,1,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,9,9,9,8,3,7,4, , , ,2,2,5,4,2,1,2,2,1,5,2,2,5,1,1,6,1,2,5,1,3
1,36,2,1,1,4,1,1,1,1,2,1,4,1,1,1,1,2,1,1,5,1,1,1,1,1,3, , , ,2,2,6,4,1,2,2,1,2,4,1,4,3,1,4,4,3,1,2,1,2
1,35,2,2,5,2,5,3,6,2,2,4,4,6,4,6,2,2,2,5,2,4,9,1,3,1,3, , , ,6,3,4,2,3,6,3,2,4,2,2,2,2,2,2,6,5,5,2,4,3
1,35,4,1,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,1,3, , , ,2,2,2,5,2,4,5,1,4,4,7,4,6,2,5,3,2,1,3,1,1
1,35,6,7,2,6,1,6,7,6,6,5,2,1,2,1,6,3,2,2,7,7,4,8,7,8,4,65,36,38,6,7,6,7,7,6,6,6,7,6,7,7,6,6,6,7,7,6,6,5,6
1,35,6,7,2,5,2,6,5,6,7,6,2,3,2,1,6,2,2,2,8,7,2,7,8,8,4,76,41,36,6,5,6,6,7,6,6,6,5,6,6,5,6,5,6,5,6,7,6,6,5
2,35,6,6,6,3,5,5,5,5,1,5,5,4,6,5,2,2,3,6,6,2,4,2,1,1,2, , , ,1,4,7,2,2,3,3,2,4,3,4,3,2,3,3,5,5,6,4,3,4
2,35,5,1,7,6,7,1,5,1,4,1,6,2,3,1,3,2,1,4,5,6,6,7,8,7,5, , , ,4,1,7,5,1,4,5,1,4,5,3,6,5,2,6,4,3,6,3,1,5
1,34,6,1,2,2,2,1,2,1,1,1,2,2,2,2,1,3,5,8,9,9,9,9,9,9,3, , , ,1,1,4,1,1,5,1,1,2,3,1,3,1,1,3,1,1,3,1,1,3
1,34,2,1,6,6,1,1,4,1,2,1,3,1,2,1,1,6,9,9,9,9,9,4,3,3,5, , , ,5,6,6,7,3,4,4,2,3,6,6,4,7,3,6,5,4,3,7,4,7
1,34,6,2,4,6,1,2,4,6,7,4,1,5,1,4,6,3,2,4,7,6,6,8,3,6,2, , , ,2,1,5,6,2,7,5,1,3,2,1,3,1,4,3,1,2,2,4,2,5
1,34,5,3,3,3,2,4,2,7,5,3,4,5,2,6,5,2,1,2,9,1,2,4,2,2,4, , , ,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,34,5,3,3,6,4,3,4,4,5,2,3,2,4,5,4,6,4,5,6,7,5,6,6,5,3,10,2,19,4,6,7,7,3,7,4,1,6,7,2,3,4,5,4,4,5,3,5,4,3
1,34,7,6,2,5,1,7,6,5,6,7,3,2,1,3,7,9,7,8,9,7,1,7,8,9,4,86,78,94,4,5,6,6,4,5,7,7,6,5,4,5,6,7,4,5,6,7,6,5,4
1,34,6,6,3,6,4,6,3,5,4,4,3,4,4,3,5,2,2,3,7,6,6,6,4,6,4,10,0,20,3,6,5,7,5,7,4,1,7,7,4,5,3,4,5,4,3,4,5,4,3
1,34,7,5,1,7,7,4,3,6,7,5,1,3,2,3,5,2,2,3,9,8,9,9,6,9,4,30,10,30,2,4,6,7,1,7,3,1,5,7,1,5,7,5,7,1,1,1,2,1,1
1,34,6,7,2,5,2,7,6,5,6,6,2,1,2,2,5,2,2,2,8,7,2,8,7,8,4,66,42,47,6,6,4,5,6,6,5,7,6,5,6,4,6,6,7,6,7,6,5,6,6
1,34,6,5,3,6,3,6,5,7,6,5,4,3,4,3,4,2,2,2,8,6,3,7,6,8,4,18,10,29,1,2,6,7,1,7,4,1,6,7,1,5,4,3,5,4,3,5,4,3,2
2,34,7,3,3,7,4,2,7,3,2,2,7,5,4,4,7,3,8,8,9,9,8,5,5,6,3, , , ,4,2,7,6,2,7,5,2,5,6,4,4,5,3,6,6,7,6,6,4,7
2,34,7,4,7,7,4,5,7,5,3,4,3,4,7,5,5,2,1,1,1,1,1,1,1,1,3, , , ,5,3,7,6,5,7,5,2,4,6,1,3,4,7,5,5,7,4,6,7,7
1,33,6,3,1,2,3,2,2,3,2,2,2,3,6,3,2,4,5,6,9,9,9,3,2,3,3, , , ,3,2,4,5,2,4,4,1,4,4,2,3,4,2,4,4,2,4,5,3,5
2,33,3,3,1,1,3,2,1,2,1,1,3,3,2,3,2,4,3,3,9,2,9,3,2,2,3, , , ,2,3,5,3,2,4,6,2,2,3,3,4,5,1,4,3,3,6,5,4,2
2,33,7,5,3,3,4,4,3,5,1,4,2,5,6,5,2,2,2,6,8,1,2,3,3,2,2, , , ,4,5,7,6,2,5,6,2,6,5,7,4,4,2,7,5,7,7,5,2,5
2,33,7,3,3,6,3,2,6,2,2,2,5,3,5,2,4,2,1,2,7,2,3,8,6,7,2, , , ,5,6,6,5,4,5,5,3,3,2,4,4,5,4,6,5,7,6,4,4,7
2,33,7,2,4,7,5,1,7,4,2,2,7,4,5,4,6,2,1,1,9,5,5,1,1,1,3, , , ,1,6,7,1,4,7,1,3,6,1,3,7,1,4,7,1,7,7,1,4,7
2,33,3,6,2,3,4,3,6,6,1,5,3,4,2,5,6,4,4,2,7,4,5,6,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
1,32,5,6,2,2,6,5,1,6,4,5,1,5,6,6,1,2,2,1,1,1,1,3,3,1,3, , , ,1,5,7,7,7,2,5,4,5,5,6,2,5,7,6,6,7,1,6,7,2
1,32,4,4,4,2,4,3,3,3,3,3,2,4,3,3,4,2,1,1,1,1,1,1,2,1,3, , , ,6,4,6,6,1,3,6,1,4,6,4,1,6,6,4,6,3,3,5,6,4
2,32,7,1,4,7,1,1,7,1,1,1,1,1,1,1,1,3,5,9,9,9,9,5,5,5,2, , , ,2,1,7,7,1,7,2,1,7,7,1,4,7,1,7,2,4,7,7,1,7
2,32,5,3,2,2,6,5,6,3,2,4,6,6,6,3,2,2,4,3,8,8,9,7,1,4,4, , , ,3,1,5,1,1,2,1,1,1,4,3,1,1,1,3,2,2,2,1,1,2
2,32,7,3,6,5,5,2,5,3,2,3,7,5,6,4,6,2,2,2,6,5,8,2,2,2,4, , , ,1,6,5,2,5,7,1,3,6,2,5,4,2,5,5,2,3,4,2,3,5
2,32,7,3,2,4,3,5,3,3,2,2,2,2,2,2,2,2,3,1,5,1,3,4,2,1,4, , , ,6,6,7,7,2,6,4,1,7,7,7,7,7,7,6,7,7,7,7,7,7
2,32,7,3,1,5,3,1,1,1,1,1,4,4,4,4,4,3,3,3,7,7,3,9,9,9,5,0,0,0,1,1,3,7,1,1,4,1,1,7,1,2,3,1,2,2,1,1,4,1,2
1,31,7,4,4,7,5,3,4,2,3,3,6,4,3,4,4,1,1,1,5,1,3,2,2,2,3, , , ,1,5,6,1,1,4,1,1,5,1,1,5,1,3,6,1,1,3,1,1,5
1,31,4,3,5,3,5,3,3,3,3,3,5,6,6,6,3,2,2,2,1,1,9,2,2,2,4,10,9,38,3,4,4,4,4,4,4,3,3,3,2,2,2,2,2,3,2,3,2,2,2
2,31,7,6,1,6,1,7,6,7,6,7,1,2,1,2,7,5,6,6,8,9,2,8,9,8,4,65,70,76,6,7,6,7,6,7,6,5,6,7,7,6,6,7,6,6,7,6,7,6,6
1,30,1,1,7,1,7,1,1,1,1,1,7,7,7,7,1,2,2,2,1,1,1,1,1,1,5, , , ,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,30,3,4,5,4,4,4,5,4,5,4,4,4,3,4,4,2,1,2,1,1,8,1,1,1,5, , , ,4,4,4,4,4,4,4,3,4,3,3,3,4,3,4,3,3,4,3,4,4
1,30,2,2,4,6,5,2,2,2,4,4,3,4,4,4,3,2,2,3,5,5,7,5,6,6,3, , , ,4,2,7,6,1,6,3,2,4,6,2,6,4,2,7,5,2,4,4,2,6
1,30,3,2,2,7,3,2,4,1,1,2,3,2,5,2,6,2,5,5,8,7,8,6,5,3,3, , , ,4,2,6,5,1,6,7,1,4,5,4,3,3,1,5,7,5,4,4,1,5
1,30,1,1,7,7,1,1,1,1,1,1,1,1,2,1,1,4,7,7,9,7,2,8,7,7,5, , , ,4,5,7,5,2,5,3,1,6,6,2,7,5,3,6,5,1,6,5,2,6
1,30,6,7,4,4,4,5,2,2,4,3,3,5,5,1,3,2,3,2,8,6,3,6,6,7,3,44,48,45,4,7,7,7,7,4,7,4,4,3,5,4,4,3,4,4,4,6,5,7,5
2,30,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,1,1,1,1,1,1,9,6,1,1, , , ,1,7,7,1,3,7,1,6,7,1,7,7,1,7,7,1,7,7,1,7,7
2,30,6,7,2,6,1,6,7,6,7,6,2,1,1,2,7,8,6,8,8,9,3,8,9,8,3,71,82,74,6,7,6,7,6,7,6,6,7,6,7,6,7,6,6,7,6,7,6,7,6
2,30,6,6,3,6,3,6,7,6,7,6,2,1,2,1,6,7,7,8,8,7,2,7,8,7,4,65,75,74,6,7,6,5,6,7,6,6,7,6,5,6,7,6,6,5,4,6,5,4,6
2,30,5,4,3,4,3,5,6,5,6,6,4,3,4,3,4,6,7,6,6,7,4,5,6,5,4,77,75,76,5,6,5,6,5,5,6,5,6,5,6,5,6,5,5,6,5,6,5,6,5
2,30,5,6,3,6,3,5,6,5,6,5,3,2,3,2,5, , , , , , , , , ,4,44,59,66,5,6,5,6,6,5,6,5,6,5,5,5,6,5,5,6,5,6,5,6,5
2,30,6,7,2,7,2,6,7,6,7,6,2,1,2,1,6,1,2,1,2,1,8,1,2,1,4,68,66,69,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,5,4,5,4,4
1,29,7,3,5,6,3,2,5,4,6,2,2,4,5,3,6,2,3,3,9,5,7,2,4,2,3, , , ,3,4,5,5,2,4,3,1,5,6,3,5,7,2,6,6,3,7,7,3,5
1,29,6,6,4,7,2,2,5,6,5,5,6,6,6,5,4,2,3,2,3,2,5,3,3,4,3, , , ,3,7,5,6,1,4,3,1,4,7,5,6,6,2,5,2,4,5,4,5,3
1,29,4,5,3,5,3,7,6,6,6,6,2,3,2,3,6,1,1,1,1,1,9,1,1,1,4,61,51,67,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,6,7
1,29,5,3,2,3,3,2,5,5,3,3,2,5,3,4,6,1,2,2,7,4,4,3,2,5,3,53,45,29,6,5,4,6,6,2,6,6,3,3,6,5,2,5,6,4,3,6,6,2,5
1,29,6,4,2,4,2,3,5,3,5,5,4,2,3,4,2,1,1,1,1,1,1,1,1,4,4,36,52,34,6,4,5,2,4,4,2,1,2,3,3,2,2,3,1,2,4,2,2,1,3
1,29,4,4,3,4,4,3,5,4,4,4,6,4,4,5,3,3,2,3,3,3,1,4,4,4,3,26,0,7,3,3,5,2,1,5,2,4,5,4,3,5,3,5,5,2,3,3,2,2,4
2,29,5,2,2,6,6,4,4,4,2,4,1,4,1,4,3,2,1,1,6,6,7,1,1,1,2, , , ,4,4,7,5,4,4,4,4,5,6,6,7,4,4,4,4,6,7,4,4,7
2,29,7,5,6,7,5,3,6,5,4,4,7,5,7,4,6,2,1,2,5,2,4,7,5,5,4, , , ,2,4,6,3,1,5,4,2,6,6,4,6,3,3,5,4,7,7,5,4,6
2,29,6,5,7,5,3,2,6,2,6,6,6,2,4,2,5,2,2,3,6,4,3,1,1,2,3,13,5,4,4,3,7,6,2,6,5,3,6,5,6,5,7,6,6,6,6,5,6,5,7
2,29,4,5,4,4,3,5,4,4,5,5,4,3,3,4,5,6,6,6,5,6,5,4,4,5,3,41,27,46,3,4,3,5,5,7,7,4,4,4,4,4,5,6,4,4,4,5,3,4,5
2,29,3,5,2,3,3,3,6,5,2,6,3,5,2,4,4,3,7,4,5,2,8,3,1,5,3,62,47,84,2,5,3,5,2,3,4,4,6,5,4,5,5,3,5,2,4,6,4,2,5
2,29,7,2,1,7,1,1,5,1,2,1,5,7,7,1,1,2,2,1,1,1,1,1,1,6,4,53,22,64,3,4,4,5,4,5,4,4,5,4,5,4,3,5,4,3,5,5,3,4,5
1,28,5,2,3,5,4,2,2,2,2,2,4,6,4,2,1,2,1,1,8,8,9,4,2,3,3, , , ,4,1,5,6,1,5,5,1,3,4,2,3,3,1,4,3,1,4,3,1,5
1,28,6,5,5,4,4,3,6,3,3,4,2,5,4,4,5,2,2,3,7,6,7,6,4,6,3, , , ,3,4,5,3,2,4,3,2,5,2,3,4,4,3,5,2,3,3,4,3,4
1,28,7,1,7,7,3,1,6,1,6,1,7,2,7,2,6,2,2,1,4,4,3,5,4,4,4, , , ,6,6,6,6,2,7,6,2,6,6,2,6,6,6,6,4,6,6,6,6,6
1,28,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , ,4,64,49,88,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1,28,6,4,3,3,4,3,5,4,5,5,5,5,4,3,4,7,3,2,7,7,6,5,4,6,4,29,2,10,2,3,1,2,1,3,2,5,5,3,4,4,5,4,2,2,3,3,3,2,3
1,28,3,5,3,5,2,4,6,6,5,4,5,3,2,3,5,2,2,2,4,3,5,3,6,5,4,18,11,6,4,5,5,6,6,6,6,4,5,5,5,4,4,5,3,4,4,6,4,4,5
1,28,6,4,3,5,5,5,7,4,5,5,4,1,3,2,6,8,5,6,9,5,3,5,9,7,4,73,40,60,5,7,4,6,5,5,7,5,3,7,5,6,6,4,6,4,5,5,4,7,4
1,28,5,7,3,6,2,2,5,3,6,6,3,4,1,3,5,6,5,8,4,7,3,7,7,4,3,65,58,44,5,7,5,6,6,4,6,3,5,7,5,6,6,5,7,4,4,6,5,5,7
2,28,1,1,4,7,7,1,1,4,1,1,7,4,7,7,1,2,1,1,9,9,9,8,8,8,2, , , ,3,1,7,6,1,3,4,1,1,6,4,1,6,1,5,5,6,4,5,1,5
2,28,5,4,3,5,4,5,4,3,3,5,3,3,4,4,7,3,2,4,6,4,3,8,6,5,4, , , ,4,6,4,4,5,3,4,5,3,3,3,5,5,4,4,6,5,3,4,5,4
2,28,1,1,2,1,3,1,1,1,1,1,3,3,3,3,1,2,2,2,1,1,1,1,1,1,3, , , ,1,1,2,6,4,5,5,1,4,4,6,4,4,5,6,3,7,4,3,3,4
2,28,7,6,2,5,2,7,6,7,6,6,1,2,1,2,6,9,8,8,9,8,3,9,7,9,5,51,52,54,7,6,7,7,6,6,6,7,5,7,6,5,7,6,7,5,6,7,6,6,7
2,28,5,6,3,6,3,5,6,5,6,5,4,3,4,3,4,5,6,5,5,6,5,6,7,5,4,24,27,31,5,6,5,6,5,6,5,5,6,5,6,5,6,5,5,6,5,6,5,6,5
2,28,7,6,2,7,2,7,6,7,5,6,3,2,2,2,6,8,7,8,8,8,4,8,6,8,5,49,46,53,7,6,7,6,7,6,7,7,6,6,6,7,6,6,7,6,5,6,7,6,6
1,27,5,7,5,4,4,6,3,5,2,6,5,1,3,4,6,2,2,2,8,6,3,6,5,9,3, , , ,6,4,7,4,7,5,3,5,3,6,4,5,6,5,7,5,6,4,4,6,5
1,27,2,4,6,6,4,2,3,4,2,5,3,4,7,5,5,4,3,4,7,5,8,8,6,5,3, , , ,3,3,5,6,1,2,4,2,5,6,4,5,5,3,5,6,3,4,3,3,4
1,27,2,2,6,2,4,3,3,1,1,2,6,5,7,7,1,5,7,6,5,5,7,4,4,6,5, , , ,2,3,5,6,6,2,6,2,5,1,6,3,6,5,6,5,7,7,4,2,5
1,27,7,1,4,7,1,7,5,1,4,1,4,3,7,1,4,2,4,6,9,5,9,5,5,5,5, , , ,7,4,7,7,1,7,7,1,7,7,1,3,7,1,7,7,7,4,7,1,7
1,27,6,4,3,4,4,2,6,4,4,2,5,5,5,5,4,2,2,1,2,2,2,4,2,2,4, , , ,4,5,6,5,6,5,5,4,4,5,6,7,4,5,6,3,6,5,4,6,7
1,27,6,5,3,5,3,4,5,6,5,6,3,3,3,3,4,7,5,8,6,5,3,5,5,8,4,53,49,58,4,6,6,3,6,4,6,4,4,5,5,6,3,5,4,5,4,5,3,4,6
1,27,7,2,6,1,4,2,6,2,4,1,6,4,5,3,4,1,1,1,9,4,5,9,4,2,2,5,1,5,2,4,6,7,4,5,3,3,5,4,5,6,6,3,6,4,4,5,5,3,6
2,27,7,1,2,7,4,1,4,1,1,2,5,3,5,2,2,2,1,3,9,6,8,1,1,1,4, , , ,3,2,6,5,1,3,2,1,3,5,3,4,2,2,4,2,5,6,2,2,6
2,27,6,6,2,7,2,6,6,7,6,6,2,3,2,2,6,1,1,1,1,1,9,3,5,5,4,32,45,66,6,6,7,6,6,6,6,6,6,7,6,7,6,6,6,6,6,6,7,6,6
2,27,7,6,1,6,1,6,6,6,7,6,2,1,2,2,7, , , , , , , , , ,5,10,20,50,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,6,6,7,6
2,27,4,5,4,3,4,3,3,4,5,4,4,5,4,4,5,5,6,7,5,4,6,6,5,4,3,53,33,38,5,4,4,5,5,4,4,5,4,3,4,4,5,4,4,5,6,5,4,4,3
2,27,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,1,9,1,1,1,3,49,49,48,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2,27,7,7,7,7,7,7,4,7,1,7,1,7,7,7,1,2,8,8,9,9,8,9,1,9,1,50,0,0,4,5,7,7,3,4,6,1,3,6,4,7,7,2,6,3,7,5,5,1,3
2,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,26,7,5,7,7,5,4,7,5,1,4,7,5,6,5,7,2,9,9,9,9,9,3,3,3,2, , , ,3,1,5,3,1,6,3,1,6,3,1,5,3,1,4,4,1,6,3,1,7
1,26,5,4,6,4,3,5,3,5,6,4,2,6,6,5,4,3,3,2,7,6,6,7,4,5,2, , , ,3,5,6,4,2,5,5,6,3,4,1,6,4,5,5,3,3,4,5,3,6
1,26,5,4,3,3,5,6,4,5,3,3,4,3,2,4,5,6,2,1,6,5,4,5,4,6,4, , , ,5,6,4,5,4,5,3,3,2,5,4,5,3,3,3,5,4,4,2,2,4
1,26,5,7,2,7,2,5,7,5,7,6,3,1,4,1,6,8,9,7,1,8,3,8,9,8,5, , , ,4,7,3,5,3,6,5,5,6,4,6,4,5,6,5,4,6,5,7,7,6
1,26,6,4,2,4,3,4,3,5,7,4,2,5,4,2,1,2,1,1,7,8,7,6,3,2,4,10,0,10,6,5,7,7,2,5,4,1,4,6,2,5,7,1,5,6,7,1,5,3,4
1,26,2,1,1,2,6,2,5,2,1,1,6,2,6,2,2,6,3,7,8,7,7,7,5,6,5,10,1,1,3,4,7,5,1,3,1,1,3,7,5,7,3,2,5,7,4,6,3,5,7
1,26,4,4,3,4,3,3,2,2,3,2,5,6,4,3,4,1,1,1,8,8,8,7,5,5,2,18,12,26,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,26,4,3,3,4,4,3,5,4,3,4,3,3,4,5,4,4,3,4,7,6,6,4,6,5,2,40,30,40,3,2,6,3,1,3,1,1,1,1,3,4,4,3,5,4,3,4,4,4,3
1,26,5,4,3,5,4,5,4,5,4,5,3,5,4,3,4,1,1,1,1,2,7,6,5,6,3,54,35,43,5,3,4,6,3,4,4,2,6,4,5,5,6,5,5,4,5,4,5,5,4
1,26,7,3,3,1,4,1,1,1,3,1,4,5,5,3,1,2,2,2,9,6,5,6,4,5,3,10,0,0,5,4,3,4,3,4,3,4,4,3,4,5,4,4,4,5,4,3,4,5,4
1,26,4,5,5,3,5,3,4,3,4,4,4,4,4,4,5,1,1,1,3,5,4,9,8,8,3,12,4,10,1,3,4,4,5,3,3,5,4,7,5,5,4,4,4,5,4,4,5,3,5
1,26,5,4,5,2,5,4,2,3,4,5,5,5,6,5,3,2,1,1,6,6,5,2,2,1,3,39,28,23,4,3,4,5,3,3,4,2,3,2,3,3,2,3,5,4,3,4,3,3,4
1,26,5,4,2,5,3,5,3,2,2,3,5,5,5,6,2,3,2,2,6,7,6,8,7,8,3,21,25,30,3,4,6,6,6,4,5,5,6,7,5,6,5,5,6,4,5,2,6,7,6
1,26,7,5,2,4,3,6,5,6,4,6,2,4,3,3,6,8,6,8,7,5,2,9,6,8,4,84,66,78,6,4,6,3,5,5,4,6,5,6,4,6,5,7,6,4,5,7,4,6,5
1,26,6,3,4,2,3,5,6,7,3,5,3,4,1,2,5,7,6,9,8,9,5,7,7,6,4,40,31,60,5,4,6,7,6,5,4,4,3,5,4,3,5,6,5,7,6,4,6,5,5
1,26,7,1,2,1,1,1,2,1,6,1,1,2,3,1,1,1,2,2,9,9,9,7,5,7,4,24,15,53,4,1,6,5,1,5,2,1,6,7,2,1,6,1,6,7,1,5,6,3,6
